0,0,388,772,-1,-1,-1,-1,-1,-1
1,0.013785,28,52,-1,-1,-1,-1,-1,-1
2,0.636442,2112,9425,-1,-1,-1,-1,-1,-1
3,0.212617,2112,9425,-1,-1,-1,-1,-1,-1
4,0.246369,6279,13713,-1,-1,-1,-1,-1,-1
5,2.74109,11937,64325,-1,-1,-1,-1,-1,-1
6,0.052075,11937,64325,0,0.41552,3.14159,2.26542,1e+50,8.86125e+46
8,1.03845,1974,10013,0.000117529,0.617458,3.14099,1.99096,16292.3,12.0054
7,0.091267,10770,53326,0.000117529,0.672262,3.14099,1.91591,16292.3,6.36598
8,0.39358,4296,21808,0.000313017,0.711179,3.14057,1.86781,685.759,4.49317
9,0.177663,4296,21742,0.000508455,0.724788,3.14055,1.83915,685.759,4.21468
10,0.140995,4296,21742,0.128844,0.783688,2.87858,1.78932,10.1304,3.79512
7,0.035116,7068,33371,0.128844,0.77273,2.82723,1.80475,10.6004,3.93293
8,0.195309,4364,21843,0.128844,0.79011,2.78447,1.7777,10.0505,3.76001
9,0.144161,4364,21820,0.177695,0.792034,2.7825,1.77183,9.36038,3.74737
10,0.123232,4364,21820,0.197261,0.817971,2.76659,1.74306,9.36038,3.64744
8,0.083174,4149,20777,0.204554,0.820069,2.7258,1.74061,9.36038,3.63774
12,0.043256,1955,9011,0.204554,0.839762,2.7258,1.72176,8.00544,3.57101
13,-1,0,-1,-1,-1,-1,-1,-1,-1
