0, 0, 2316, 772, -1, -1, -1, -1
1, 0.012361, 50, 96, -1, -1, -1, -1
2, 0.00813, 562, 2292, -1, -1, -1, -1
3, 0.132803, 4763, 24761, 3.56809e+07, 6037.24, 0, -1
7, 0.141902, 890, 4224, 1589.46, 20.4739, -1, -1
6, 0.043703, 13306, 67250, 1589.46, 13.5025, -1, -1
7, 0.320823, 3433, 17321, 114.261, 4.50658, -1, -1
8, 0.12578, 3433, 16966, 114.261, 4.1135, -1, -1
9, 0.02616, 3433, 16966, 27.6658, 3.7633, -1, -1
6, 0.016973, 7014, 33199, 26.4809, 4.00221, -1, -1
7, 0.117558, 3885, 19096, 13.5066, 3.73288, -1, -1
8, 0.111491, 3885, 19070, 13.5066, 3.6972, -1, -1
9, 0.02333, 3885, 19070, 13.5066, 3.58404, -1, -1
6, 0.01496, 6086, 28437, 13.5066, 3.77694, -1, -1
7, 0.083927, 3952, 19420, 13.5066, 3.60001, -1, -1
8, 0.089164, 3952, 19403, 13.5066, 3.58728, -1, -1
9, 0.028938, 3952, 19403, 13.5066, 3.53115, -1, -1
6, 0.011448, 5893, 27559, 15.4456, 3.7139, -1, -1
7, 0.074347, 4128, 20325, 13.5066, 3.56686, -1, -1
8, 0.09579, 4128, 20322, 13.5066, 3.55583, -1, -1
9, 0.024614, 4128, 20322, 11.4655, 3.5135, -1, -1
6, 0.01347, 5684, 26500, 11.4655, 3.65576, -1, -1
7, 0.066956, 4102, 20202, 11.4655, 3.52405, -1, -1
8, 0.083669, 4102, 20202, 11.4655, 3.5205, -1, -1
9, 0.025503, 4102, 20202, 11.4648, 3.49551, -1, -1
6, 0.01164, 5588, 26034, 13.2985, 3.63894, -1, -1
7, 0.061422, 4119, 20313, 6.64788, 3.50929, -1, -1
8, 0.086466, 4119, 20317, 6.64788, 3.50435, -1, -1
9, 0.02431, 4119, 20317, 6.645, 3.48606, -1, -1
7, 0.028736, 4049, 19977, 6.645, 3.48208, -1, -1
4, 1.76734, 4049, 19977, 6.645, 3.48208, -1, -1
5, 0.044994, 1821, 8270, 6.32014, 3.40575, -1, -1
-1, 1.96563, 1821, 8270, 6.32014, 3.40575, 0, 30
