Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
ConstrainingCylinder,0.0975764703577163,-0.0752056146841021,-0.0453675725517977,0,0,0,0.00192984071052557,5.70536612199393E-06,4.12769380361416E-36,-2.75574912167852E-37,5.70536612199388E-06,3.47371967530493E-22,1.13785682321457E-05,0,0,0,0,0,0,package://SoftGrasperAssembly/meshes/ConstrainingCylinder.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SoftGrasperAssembly/meshes/ConstrainingCylinder.STL,,ConstrainingCylinder-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
JawSupport,1.3878E-17,-6.088E-05,0.0056971,0,0,0,0.020019,2.8922E-06,2.0842E-21,1.6223E-20,3.6958E-06,-8.3292E-10,5.9269E-06,0,0,0,0,0,0,package://SoftGrasperAssembly/meshes/JawSupport.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly/meshes/JawSupport.STL,,SoftJawSupport-1,Origin_LinearJaw1,Axis_LinearJaw1,LinearJaw1,prismatic,0.097576,0,-0.045368,1.5708,0,0,ConstrainingCylinder,0,0,1,0,0,0,1,,,,,,,,
SoftJaw1,-1.3878E-17,-6.9389E-18,-0.054391,0,0,0,0.015121,1.7236E-06,-3.1795E-21,1.0892E-21,1.331E-06,2.3317E-22,2.4259E-06,0,0,0,0,0,0,package://SoftGrasperAssembly/meshes/SoftJaw1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly/meshes/SoftJaw1.STL,,SoftJaw_Sealed-1,Origin_SJ1,,SJ1,fixed,0,0,0.075206,0,0,0,JawSupport,0,0,0,,,,,,,,,,,,
JawSupport2,-5.0259E-09,-6.0879E-05,-0.022608,0,0,0,0.020019,2.8922E-06,2.1735E-13,2.0391E-13,3.6958E-06,-8.3305E-10,5.9269E-06,0,0,0,0,0,0,package://SoftGrasperAssembly/meshes/JawSupport2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly/meshes/JawSupport2.STL,,SoftJawSupport-3,Origin_LinearJaw22,Axis_LinearJaw22,LinearJaw2,prismatic,0.056959,-0.098656,-0.045368,1.5708,0,2.0944,ConstrainingCylinder,0,0,1,0,0,0,1,,,,,,,,
JawSupport3,5.0259E-09,-6.0879E-05,-0.031111,0,0,0,0.020019,2.8922E-06,-2.1735E-13,-2.0391E-13,3.6958E-06,-8.3305E-10,5.9269E-06,0,0,0,0,0,0,package://SoftGrasperAssembly/meshes/JawSupport3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SoftGrasperAssembly/meshes/JawSupport3.STL,,SoftJawSupport-2,Origin_LinearJaw32,Axis_LinearJaw32,LinearJaw3,prismatic,0.13083,-0.094404,-0.045368,1.5708,0,-2.0944,ConstrainingCylinder,0,0,1,0,0,0,1,,,,,,,,
